bin,Sample,Museum,Species,Sex,Age,Year,Country,Region,Oral.health,GenomeBin,Specific lineage dataset,%Complete (specific),%Complete and single-copy (specific),%Complete and duplicated (specific),%Fragmented (specific),%Missing (specific),Total number (specific),Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,Unnamed: 32,min,q1,mean,median,q3,max,bin_type,bin_path,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,classification,closest_genome_reference,closest_genome_reference_radius,closest_genome_taxonomy,closest_genome_ani,closest_genome_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,other_related_references(genome_id;species_name;radius;ANI;AF),msa_percent,translation_table,red_value,warnings
MEGAHIT-MetaBAT2Refined-RM_096.7.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_096.7.fa.gz,bacteria_odb10,96.0,94.4,1.6,2.4,1.6,124,MEGAHIT-MetaBAT2Refined-RM_096.7.fa.gz,87,87,73,64,39,18,2773230,2773230,2729369,2660501,2241865,1498266,87,198052,2773230,69.43,58824,31247,16,33,0.0,2 + 0 part,,0.118,0.221,0.235919540229885,0.241,0.2545,0.325,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_096.7.fa.gz,o__Actinomycetales (UID1530),622,258,152,8,242,8,0,0,0,95.5,1.43,0.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_000426605.1; s__Propionibacterium acidifaciens; 95.0; 86.26; 0.453; GCF_003666605.1; s__Propionibacterium australiense; 95.0; 85.46; 0.437; GCF_900289195.1; s__Propionibacterium ruminifibrarum; 95.0; 85.34; 0.422,93.64,11.0,0.97847,
MEGAHIT-MaxBin2Refined-DM_005.002.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_005.002.fa.gz,bacteria_odb10,19.4,19.4,0.0,8.1,72.5,124,MEGAHIT-MaxBin2Refined-DM_005.002.fa.gz,723,723,14,0,0,0,1272447,1272447,84533,0,0,0,723,8006,1272447,31.36,1800,1328,241,448,0.0,1 + 3 part,,0.0,0.115,0.2491964038727524,0.181,0.275,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_005.002.fa.gz,p__Euryarchaeota (UID3),148,188,125,68,119,1,0,0,0,55.58,0.8,100.0,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter olleyae,GCF_900114585.1,95.0,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter olleyae,99.69,0.833,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MaxBin2Refined-DM_005.004_sub.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_005.004_sub.fa.gz,bacteria_odb10,74.2,73.4,0.8,12.1,13.7,124,MEGAHIT-MaxBin2Refined-DM_005.004_sub.fa.gz,548,548,134,29,1,0,2171015,2171015,1155384,408247,29185,0,548,29185,2171015,43.7,5571,3085,121,255,0.0,0 + 0 part,,0.0,0.083,0.1387536496350365,0.128,0.16625,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_005.004_sub.fa.gz,o__Clostridiales (UID1120),304,247,141,15,216,14,2,0,0,93.27,6.76,55.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_B;s__,,,,,,GCA_023394035.1,95.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_B;s__Eubacterium_B sp023394035,88.42,0.524,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_B;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,,75.59,11.0,0.99047,Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 10.8% of markers with multiple hits
MEGAHIT-MaxBin2Refined-DM_005.006.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_005.006.fa.gz,bacteria_odb10,61.3,61.3,0.0,7.3,31.4,124,MEGAHIT-MaxBin2Refined-DM_005.006.fa.gz,47,47,40,28,8,2,817717,817717,798900,708046,372039,135027,47,67986,817717,48.5,22594,14724,10,21,0.0,0 + 1 part,,0.054,0.104,0.1354680851063829,0.13,0.1605,0.248,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_005.006.fa.gz,k__Bacteria (UID1453),901,171,117,49,117,5,0,0,0,63.25,3.07,60.0,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__,,,,,,,,,,,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,72.57,11.0,0.93353,
MEGAHIT-MaxBin2Refined-DM_005.010.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_005.010.fa.gz,bacteria_odb10,92.7,92.7,0.0,2.4,4.9,124,MEGAHIT-MaxBin2Refined-DM_005.010.fa.gz,224,224,122,57,9,1,1801942,1801942,1519140,1028473,316838,60384,224,60384,1801942,49.71,12187,7027,46,94,0.0,0 + 0 part,,0.0,0.12875,0.2368169642857142,0.1845,0.25425,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_005.010.fa.gz,o__Clostridiales (UID1212),172,263,149,7,253,3,0,0,0,95.3,0.81,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2912;s__,,,,,,,,,,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2912;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,92.63,11.0,0.95815,
MEGAHIT-MetaBAT2Refined-DM_005.10_sub.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_005.10_sub.fa.gz,bacteria_odb10,18.5,18.5,0.0,9.7,71.8,124,MEGAHIT-MetaBAT2Refined-DM_005.10_sub.fa.gz,79,79,64,42,16,4,1310916,1310916,1275425,1117579,660692,263682,79,79394,1310916,57.61,25252,16246,16,32,0.0,0 + 0 part,,0.045,0.101,0.1317721518987341,0.125,0.1485,0.369,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_005.10_sub.fa.gz,p__Euryarchaeota (UID3),148,187,124,23,163,1,0,0,0,88.47,0.81,0.0,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__RumEn-M2;s__,,,,,,,,,,,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__;s__,taxonomic novelty determined using RED,,,78.65,11.0,0.93534,
MEGAHIT-MetaBAT2Refined-DM_005.14.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_005.14.fa.gz,bacteria_odb10,99.2,98.4,0.8,0.0,0.8,124,MEGAHIT-MetaBAT2Refined-DM_005.14.fa.gz,233,233,144,85,28,3,2572091,2572091,2323847,1893633,1046316,223199,233,85569,2572091,37.7,18266,9591,40,89,0.0,1 + 1 part,,0.082,0.142,0.1548068669527897,0.153,0.162,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_005.14.fa.gz,k__Bacteria (UID2570),433,273,183,4,266,3,0,0,0,98.36,1.37,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__JAFADY01;s__,,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__JAFADY01;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,95.61,11.0,0.95694,
MEGAHIT-MetaBAT2Refined-DM_005.18.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_005.18.fa.gz,bacteria_odb10,87.9,87.9,0.0,4.8,7.3,124,MEGAHIT-MetaBAT2Refined-DM_005.18.fa.gz,178,178,113,59,9,0,1688238,1688238,1474343,1085139,287325,0,178,42839,1688238,47.22,14551,7864,39,80,0.0,0 + 0 part,,0.001,0.1195,0.1773707865168539,0.168,0.205,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_005.18.fa.gz,o__Selenomonadales (UID1024),64,334,167,23,303,8,0,0,0,92.4,3.99,62.5,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__,,,,,,GCA_900544275.1,95.0,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__Succiniclasticum sp900544275,88.18,0.571,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,,87.79,11.0,0.98839,Genome not assigned to closest species as it falls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-DM_005.20.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_005.20.fa.gz,bacteria_odb10,85.5,84.7,0.8,9.7,4.8,124,MEGAHIT-MetaBAT2Refined-DM_005.20.fa.gz,419,419,193,54,3,0,2458909,2458909,1793555,817856,88012,0,419,31137,2458909,48.71,7558,4651,102,204,0.0,0 + 0 part,,0.035,0.111,0.1332052505966587,0.132,0.151,0.457,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_005.20.fa.gz,k__Bacteria (UID2569),434,278,186,21,252,5,0,0,0,91.48,1.2,80.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__,,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,88.76,11.0,0.98167,
MEGAHIT-MetaBAT2Refined-DM_005.4.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_005.4.fa.gz,bacteria_odb10,73.4,72.6,0.8,13.7,12.9,124,MEGAHIT-MetaBAT2Refined-DM_005.4.fa.gz,574,574,142,20,0,0,2333063,2333063,1085398,241627,0,0,574,16820,2333063,48.92,4620,3062,159,315,0.0,0 + 0 part,,0.0,0.086,0.2453432055749128,0.157,0.26075,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_005.4.fa.gz,o__Clostridiales (UID1120),304,247,141,49,192,6,0,0,0,75.62,2.62,50.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__,,,,,,,,,,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,70.39,11.0,0.97367,
